token_id,balance,length
1,2087,11
2,1495,9
3,2200,11
4,1824,8
5,3308,11
6,1548,7
7,3402,11
8,1717,6
9,4164,11
10,1852,5
11,1569,4
12,2369,8
13,632,3
14,1384,2
15,82,1
16,197,1
17,4457,11
18,1666,5
19,4235,10
20,173,1
21,1750,6
22,4480,11
23,4443,10
24,2606,7
25,1438,3
26,2095,7
27,1061,2
28,1953,6
29,1237,2
30,2951,8
31,2022,6
32,3334,9
33,1782,5
34,3764,9
35,54,1
36,1093,2
37,4082,9
38,4521,11
39,825,2
40,2480,7
41,1284,3
42,1147,2
43,1778,5
44,3556,9
45,3012,8
46,1485,3
47,3782,9
48,3464,8
49,4256,10
50,3829,9
51,3967,9
52,2509,7
53,797,1
54,3421,8
55,3290,7
56,3896,9
57,4725,11
58,1235,2
59,1432,3
60,3558,8
61,1459,3
62,879,2
63,4591,10
64,2218,6
65,3953,9
66,3633,8
67,3655,8
68,3748,8
69,571,1
70,3489,7
71,969,2
72,3902,9
73,106,1
74,3533,7
75,3655,8
76,3712,8
77,1056,2
78,2213,6
79,11,1
80,2212,6
81,2108,5
82,2774,6
83,3014,7
84,3613,8
85,2171,5
86,1680,4
87,1415,3
88,4804,11
89,996,2
90,1907,5
91,4149,9
92,4783,10
93,608,1
94,4815,11
95,3084,7
96,3690,8
97,3295,7
98,4698,10
99,2221,6
100,196,1
101,3867,9
102,3240,7
103,3493,7
104,2313,6
105,2263,5
106,1832,4
107,279,1
108,3162,7
109,2359,6
110,3111,7
111,4569,10
112,4785,10
113,4002,9
114,4145,9
115,2496,6
116,4921,11
117,2874,6
118,2399,5
119,580,1
120,3533,7
121,1783,4
122,1990,4
123,1636,3
124,2973,6
125,2380,6
126,1780,4
127,4748,10
128,2882,6
129,3099,7
130,3522,8
131,3079,6
132,3347,7
133,2303,5
134,2615,6
135,1610,3
136,2338,5
137,282,1
138,1046,2
139,4054,9
140,1170,2
141,4718,10
142,1718,3
143,4325,9
144,4604,10
145,1697,3
146,699,1
147,2912,6
148,184,1
149,3142,7
150,3869,9
151,2450,6
152,4586,10
153,1844,4
154,2093,4
155,4577,10
156,3119,7
157,1825,4
158,4288,9
159,1902,4
160,1911,4
161,4907,10
162,733,1
163,4522,10
164,1058,2
165,3752,8
166,4511,9
167,101,1
168,725,1
169,2546,6
170,2280,5
171,4891,10
172,1175,2
173,3747,8
174,1389,3
175,537,1
176,1805,4
177,2994,6
178,4021,9
179,2625,6
180,3522,7
181,4380,9
182,159,1
183,2237,5
184,3230,7
185,4747,10
186,105,1
187,711,2
188,3733,8
189,3589,8
190,3803,8
191,886,2
192,2155,5
193,4417,9
194,3374,7
195,4916,10
196,4793,10
197,4196,9
198,2140,4
199,4575,10
200,1434,3
201,4518,9
202,2897,6
203,4619,10
204,2286,5
205,1748,3
206,365,1
207,3427,7
208,1135,2
209,3273,7
210,2512,6
211,2593,6
212,3733,8
213,3347,7
214,2994,6
215,3579,8
216,1199,2
217,4714,10
218,1968,4
219,4872,10
220,3954,8
221,1412,3
222,419,1
223,2265,5
224,2770,6
225,3633,8
226,3502,7
227,3057,6
228,4564,9
229,2530,5
230,1524,3
